sep=,
DeviceTag:,LH
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-02-11_12:17:11_000 EST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
36,416669619,-0.631646,0.305272,0.575879,0.419770,1.00000000000000,0.00001822132617,-0.00001430138946,-0.00001445226371,0.08232063055038,0.00776863098145,0.01247555017471,9.87887001037598,0.93227291107178,1.49712574481964,0.25057125091553,-0.19666609168053,-0.19874083995819,-1.51611328125000,0.40673828125000,-0.39990234375000,0
37,416677952,-0.631639,0.305252,0.575902,0.419763,1.00000000000000,-0.00000116974115,-0.00000754557550,-0.00002991408110,0.08209729194641,0.00776386260986,0.01240783929825,9.85206794738770,0.93170070648193,1.48900020122528,-0.01608573831618,-0.10376325249672,-0.41136461496353,-1.51757812500000,0.40576171875000,-0.39990234375000,0
38,416686285,-0.631636,0.305200,0.575936,0.419758,1.00000000000000,0.00002422463149,0.00000059138983,-0.00005099177361,0.08193439245224,0.00776028633118,0.01241177320480,9.83251857757568,0.93127143383026,1.48947191238403,0.33312591910362,0.00813251920044,-0.70121526718140,-1.51660156250000,0.40380859375000,-0.39892578125000,0
39,416694618,-0.631636,0.305151,0.575962,0.419758,1.00000000000000,0.00001705903560,0.00000910367817,-0.00004854239523,0.08188921213150,0.00796991586685,0.01242226362228,9.82709789276123,0.95642811059952,1.49073112010956,0.23458796739578,0.12518957257271,-0.66753256320953,-1.51855468750000,0.40478515625000,-0.40380859375000,0
40,416702951,-0.631633,0.305094,0.575989,0.419767,1.00000000000000,0.00001584831625,0.00001145247370,-0.00006105750799,0.08198678493500,0.00788688659668,0.01258939504623,9.83880710601807,0.94646418094635,1.51078772544861,0.21793870627880,0.15748912096024,-0.83963459730148,-1.51904296875000,0.40722656250000,-0.40429687500000,0
41,416711284,-0.631636,0.305041,0.576012,0.419770,1.00000000000000,0.00001755263656,0.00001423340291,-0.00005062483251,0.08203470706940,0.00823193788528,0.01261138916016,9.84455680847168,0.98787194490433,1.51342689990997,0.24137574434280,0.19573116302490,-0.69616919755936,-1.51806640625000,0.40869140625000,-0.40185546875000,0
42,416719617,-0.631635,0.304984,0.576031,0.419786,1.00000000000000,0.00000947806984,0.00001986231655,-0.00006237998605,0.08207595348358,0.00819057226181,0.01251286268234,9.84950733184814,0.98290789127350,1.50160348415375,0.13033802807331,0.27313736081123,-0.85782068967819,-1.51806640625000,0.40673828125000,-0.40185546875000,0
43,416727950,-0.631633,0.304932,0.576042,0.419813,1.00000000000000,-0.00000265240669,0.00002665165812,-0.00006370432675,0.08203375339508,0.00800704956055,0.01263266801834,9.84444332122803,0.96088433265686,1.51598072052002,-0.03647466748953,0.36650127172470,-0.87603247165680,-1.51855468750000,0.40722656250000,-0.40283203125000,0
44,416736283,-0.631635,0.304858,0.576060,0.419839,1.00000000000000,0.00001479219645,0.00003216322511,-0.00007643178105,0.08207553625107,0.00804299116135,0.01251304149628,9.84945774078369,0.96519750356674,1.50162494182587,0.20341543853283,0.44229379296303,-1.05105447769165,-1.51806640625000,0.40820312500000,-0.40283203125000,0
45,416744616,-0.631631,0.304780,0.576084,0.419868,1.00000000000000,0.00001650210470,0.00002930592746,-0.00008437409997,0.08209431171417,0.00803971290588,0.01251643896103,9.85171031951904,0.96480405330658,1.50203263759613,0.22692932188511,0.40300154685974,-1.16027355194092,-1.51904296875000,0.40527343750000,-0.40234375000000,0
